,TR44148|c0_g1_i1,GO:0048869,uncharacterized protein loc100253680,,,,,
,TR44148|c0_g1_i1,GO:0009536,uncharacterized protein loc100253680,,,,,
,TR44148|c0_g1_i1,GO:0009887,uncharacterized protein loc100253680,,,,,
,TR44148|c0_g1_i1,GO:0006355,uncharacterized protein loc100253680,,,,,
,TR44279|c0_g1_i1,GO:0008152,21 kda,,,,,
,TR44349|c0_g1_i1,GO:0044425,lysine histidine transporter 1-like,,,,,
,TR45213|c0_g1_i1,GO:0070011,hypothetical protein L484_027645 [Morus notabilis],,,,,
,TR45213|c0_g1_i1,GO:0019538,hypothetical protein L484_027645 [Morus notabilis],,,,,
,TR45263|c0_g1_i1,GO:0015740,aluminum activated malate transporter family,,,,,
,TR45332|c0_g1_i1,GO:0005576,#NAME?,,,,,
,TR45332|c0_g1_i1,GO:0046914,#NAME?,,,,,
,TR45878|c0_g1_i1,GO:0006796,probable lrr receptor-like serine threonine-protein kinase at3g47570,,,,,
,TR45878|c0_g1_i1,GO:0036094,probable lrr receptor-like serine threonine-protein kinase at3g47570,,,,,
,TR45878|c0_g1_i1,GO:0004672,probable lrr receptor-like serine threonine-protein kinase at3g47570,,,,,
,TR45878|c0_g1_i1,GO:1901363,probable lrr receptor-like serine threonine-protein kinase at3g47570,,,,,
,TR45878|c0_g1_i1,GO:0016020,probable lrr receptor-like serine threonine-protein kinase at3g47570,,,,,
,TR45878|c0_g1_i1,GO:0097159,probable lrr receptor-like serine threonine-protein kinase at3g47570,,,,,
,TR46497|c0_g1_i1,GO:0005515,-scoulerine 9-o-methyltransferase-like,,,,,
,TR46497|c0_g1_i1,GO:0008152,-scoulerine 9-o-methyltransferase-like,,,,,
,TR46497|c0_g1_i1,GO:0008168,-scoulerine 9-o-methyltransferase-like,,,,,
,TR2719|c0_g1_i1,GO:0016705,senescence-related gene 1,,,,,
,TR2719|c0_g1_i1,GO:0043169,senescence-related gene 1,,,,,
,TR2719|c0_g1_i1,GO:0044710,senescence-related gene 1,,,,,
,TR2785|c0_g2_i1,GO:0044444,probable steroid-binding protein 3-like,,,,,
,TR2785|c0_g2_i1,GO:0043231,probable steroid-binding protein 3-like,,,,,
,TR2785|c0_g2_i1,GO:0008289,probable steroid-binding protein 3-like,,,,,
,TR2785|c0_g2_i1,GO:0046906,probable steroid-binding protein 3-like,,,,,
Endoge,TR3106|c0_g1_i1,GO:0006498,kinase family protein,,,,,
,TR3106|c0_g1_i1,GO:0032550,kinase family protein,,,,,
,TR3106|c0_g1_i1,GO:0043401,kinase family protein,,,,,
,TR3106|c0_g1_i1,GO:0043231,kinase family protein,,,,,
,TR3106|c0_g1_i1,GO:0004672,kinase family protein,,,,,
,TR3106|c0_g1_i1,GO:0001101,kinase family protein,,,,,
,TR3106|c0_g1_i1,GO:0005911,kinase family protein,,,,,
,TR3106|c0_g1_i1,GO:0006796,kinase family protein,,,,,
,TR3106|c0_g1_i1,GO:0016020,kinase family protein,,,,,
,TR5321|c0_g1_i1,GO:0016616,6-phosphogluconate dehydrogenase family protein,,,,,
,TR5321|c0_g1_i1,GO:0048037,6-phosphogluconate dehydrogenase family protein,,,,,
,TR5321|c0_g1_i1,GO:0006007,6-phosphogluconate dehydrogenase family protein,,,,,
,TR5321|c0_g1_i1,GO:0000166,6-phosphogluconate dehydrogenase family protein,,,,,
,TR5920|c0_g1_i1,GO:0016746,bahd acyltransferase dcr-like,,,,,
,TR7375|c0_g1_i1,GO:0044710,monothiol glutaredoxin-s9-like,,,,,
,TR7375|c0_g1_i1,GO:0015036,monothiol glutaredoxin-s9-like,,,,,
,TR7375|c0_g1_i1,GO:0019725,monothiol glutaredoxin-s9-like,,,,,
,TR8423|c0_g1_i1,GO:0006796,protein phosphatase,,,,,
,TR8423|c0_g1_i1,GO:0016791,protein phosphatase,,,,,
,TR8730|c0_g1_i1,GO:0032553,quinone reductase family protein isoform 2,,,,,
,TR8730|c0_g1_i1,GO:0044710,quinone reductase family protein isoform 2,,,,,
,TR8730|c0_g1_i1,GO:0006355,quinone reductase family protein isoform 2,,,,,
,TR8730|c0_g1_i1,GO:0003824,quinone reductase family protein isoform 2,,,,,
,TR8868|c0_g1_i1,GO:0044710,hypothetical protein CICLE_v10023999mg [Citrus clementina],,,,,
,TR8868|c0_g1_i1,GO:0015036,hypothetical protein CICLE_v10023999mg [Citrus clementina],,,,,
,TR8868|c0_g1_i1,GO:0019725,hypothetical protein CICLE_v10023999mg [Citrus clementina],,,,,
,TR9974|c0_g1_i1,GO:0005488,c2h2 and c2hc zinc fingers superfamily,,,,,
,TR9974|c0_g1_i1,GO:0044699,c2h2 and c2hc zinc fingers superfamily,,,,,
,TR10156|c0_g1_i1,GO:0044425,ormdl family protein,,,,,
,TR10844|c0_g1_i1,GO:0044710,fatty acyl- reductase 3,,,,,
,TR10844|c0_g1_i1,GO:0044238,fatty acyl- reductase 3,,,,,
,TR10844|c0_g1_i1,GO:0009058,fatty acyl- reductase 3,,,,,
,TR10844|c0_g1_i1,GO:0016620,fatty acyl- reductase 3,,,,,
,TR10844|c0_g1_i1,GO:0043231,fatty acyl- reductase 3,,,,,
,TR11444|c0_g2_i1,GO:0003676,triptychon and,,,,,
,TR12134|c0_g3_i1,GO:0016884,asparagine synthetase family protein,,,,,
,TR12134|c0_g3_i1,GO:0006529,asparagine synthetase family protein,,,,,
,TR12134|c0_g3_i1,GO:0032550,asparagine synthetase family protein,,,,,
,TR13862|c0_g1_i1,GO:0009892,plant invertase pectin methylesterase inhibitor superfamily,,,,,
,TR13862|c0_g1_i1,GO:0030234,plant invertase pectin methylesterase inhibitor superfamily,,,,,
,TR13862|c0_g1_i1,GO:0052689,plant invertase pectin methylesterase inhibitor superfamily,,,,,
